Output Voltage vs Output Current, Run #1
Output Current ( A )	Output Voltage ( V )
-0.007	-0.664
-0.006	-0.625
-0.006	-0.581
-0.006	-0.543
-0.005	-0.504
-0.005	-0.463
-0.004	-0.425
-0.004	-0.381
-0.004	-0.342
-0.003	-0.303
-0.003	-0.264
-0.002	-0.224
-0.002	-0.182
-0.002	-0.142
-0.001	-0.104
-7.630E-4	-0.063
-4.273E-4	-0.024
0.000	0.016
4.883E-4	0.059
9.461E-4	0.098
0.001	0.138
0.002	0.178
0.002	0.215
0.002	0.259
0.003	0.297
0.003	0.339
0.004	0.377
0.004	0.417
0.004	0.459
0.005	0.498
0.005	0.538
0.006	0.578
0.006	0.616
0.007	0.659
0.007	0.698
0.007	0.737
0.008	0.779
0.008	0.817
0.009	0.859
0.009	0.898
0.009	0.938
0.010	0.978
0.010	1.018
0.010	1.057
0.011	1.099
0.011	1.138
0.012	1.180
0.012	1.220
0.013	1.258
0.013	1.299
0.013	1.338
0.014	1.379
0.014	1.419
0.015	1.457
0.015	1.500
0.015	1.538
0.016	1.578
0.016	1.621
0.017	1.660
0.017	1.700
0.017	1.739
0.018	1.777
0.018	1.821
0.019	1.859
0.019	1.900
0.019	1.940
0.020	1.978
0.020	2.022
0.021	2.060
0.021	2.100
0.021	2.139
0.022	2.178
0.022	2.221
0.023	2.260
0.023	2.300
0.023	2.341
0.024	2.380
0.024	2.419
0.025	2.461
0.025	2.500
0.025	2.540
0.026	2.579
0.026	2.618
0.027	2.661
0.027	2.700
0.027	2.741
0.028	2.779
0.028	2.819
0.029	2.861
0.029	2.900
0.029	2.940
0.030	2.980
0.030	3.019
0.031	3.062
0.031	3.100
0.031	3.140
0.032	3.181
0.032	3.220
0.033	3.260
0.033	3.301
0.033	3.340
0.034	3.381
0.034	3.420
0.035	3.460
0.035	3.501
0.035	3.540
0.036	3.581
0.036	3.621
0.037	3.659
0.037	3.701
0.038	3.740
0.038	3.781
0.038	3.821
0.039	3.859
0.039	3.901
0.040	3.941
0.040	3.980
0.040	4.022
0.041	4.063
0.041	4.102
0.042	4.141
0.042	4.180
0.042	4.222
0.043	4.262
0.043	4.301
0.044	4.341
0.044	4.381
0.044	4.423
0.045	4.463
0.045	4.501
0.046	4.542
0.046	4.580
0.046	4.622
0.047	4.662
0.047	4.702
0.048	4.743
0.048	4.782
0.048	4.821
0.049	4.863
0.049	4.902
0.050	4.943
0.050	4.981
0.050	4.995
0.050	4.953
0.049	4.912
0.049	4.873
0.049	4.834
0.048	4.795
0.048	4.752
0.047	4.713
0.047	4.673
0.046	4.633
0.046	4.594
0.046	4.552
0.045	4.512
0.045	4.473
0.044	4.433
0.044	4.395
0.044	4.353
0.043	4.312
0.043	4.273
0.042	4.232
0.042	4.193
0.042	4.155
0.041	4.111
0.041	4.072
0.040	4.031
0.040	3.993
0.040	3.953
0.039	3.911
0.039	3.872
0.038	3.833
0.038	3.791
0.038	3.754
0.037	3.711
0.037	3.673
0.036	3.633
0.036	3.592
0.036	3.554
0.035	3.511
0.035	3.472
0.034	3.432
0.034	3.391
0.034	3.351
0.033	3.312
0.033	3.272
0.032	3.232
0.032	3.190
0.032	3.151
0.031	3.112
0.031	3.071
0.030	3.032
0.030	2.992
0.030	2.951
0.029	2.912
0.029	2.871
0.028	2.832
0.028	2.792
0.028	2.751
0.027	2.711
0.027	2.671
0.026	2.631
0.026	2.592
0.026	2.550
0.025	2.511
0.025	2.471
0.024	2.432
0.024	2.392
0.024	2.351
0.023	2.311
0.023	2.272
0.022	2.232
0.022	2.192
0.022	2.150
0.021	2.110
0.021	2.072
0.020	2.031
0.020	1.992
0.020	1.953
0.019	1.910
0.019	1.871
0.018	1.830
0.018	1.791
0.018	1.752
0.017	1.710
0.017	1.670
0.016	1.630
0.016	1.590
0.016	1.551
0.015	1.509
0.015	1.470
0.014	1.431
0.014	1.389
0.013	1.351
0.013	1.309
0.013	1.270
0.012	1.231
0.012	1.190
0.011	1.152
0.011	1.109
0.011	1.069
0.010	1.030
0.010	0.989
0.009	0.950
0.009	0.910
0.009	0.869
0.008	0.830
0.008	0.789
0.007	0.749
0.007	0.710
0.007	0.669
0.006	0.630
0.006	0.591
0.005	0.549
0.005	0.510
0.005	0.469
0.004	0.430
0.004	0.391
0.003	0.349
0.003	0.309
0.003	0.268
0.002	0.229
0.002	0.190
0.001	0.147
9.766E-4	0.109
6.104E-4	0.070
2.136E-4	0.029
-2.441E-4	-0.011
-6.714E-4	-0.053
-0.001	-0.092
-0.001	-0.132
-0.002	-0.173
-0.002	-0.211
-0.003	-0.253
-0.003	-0.292
-0.003	-0.332
-0.004	-0.372
-0.004	-0.411
-0.005	-0.449
-0.005	-0.493
-0.005	-0.531
-0.006	-0.573
-0.006	-0.611
-0.007	-0.652
-0.007	-0.693
-0.008	-0.732
-0.008	-0.772
-0.008	-0.812
-0.009	-0.850
-0.009	-0.894
-0.010	-0.932
-0.010	-0.972
-0.010	-1.013
-0.011	-1.051
-0.011	-1.093
-0.011	-1.133
-0.012	-1.172
-0.012	-1.212
-0.013	-1.251
-0.013	-1.292
-0.014	-1.334
-0.014	-1.372
-0.014	-1.414
-0.015	-1.454
-0.015	-1.492
-0.016	-1.533
-0.016	-1.572
-0.016	-1.614
-0.017	-1.654
-0.017	-1.692
-0.018	-1.734
-0.018	-1.773
-0.018	-1.812
-0.019	-1.854
-0.019	-1.893
-0.020	-1.934
-0.020	-1.973
-0.020	-2.012
-0.021	-2.055
-0.021	-2.092
-0.022	-2.134
-0.022	-2.173
-0.022	-2.212
-0.023	-2.254
-0.023	-2.294
-0.024	-2.333
-0.024	-2.373
-0.024	-2.412
-0.025	-2.455
-0.025	-2.493
-0.026	-2.534
-0.026	-2.573
-0.026	-2.613
-0.027	-2.651
-0.027	-2.694
-0.028	-2.733
-0.028	-2.774
-0.028	-2.813
-0.029	-2.852
-0.029	-2.894
-0.030	-2.935
-0.030	-2.975
-0.030	-3.014
-0.031	-3.054
-0.031	-3.094
-0.032	-3.135
-0.032	-3.174
-0.032	-3.215
-0.033	-3.253
-0.033	-3.295
-0.034	-3.334
-0.034	-3.374
-0.035	-3.413
-0.035	-3.454
-0.035	-3.496
-0.036	-3.535
-0.036	-3.574
-0.037	-3.614
-0.037	-3.652
-0.037	-3.692
-0.038	-3.735
-0.038	-3.775
-0.039	-3.815
-0.039	-3.855
-0.039	-3.894
-0.040	-3.936
-0.040	-3.975
-0.041	-4.014
-0.041	-4.055
-0.041	-4.093
-0.042	-4.136
-0.042	-4.175
-0.042	-4.213
-0.043	-4.254
-0.043	-4.292
-0.044	-4.335
-0.044	-4.375
-0.045	-4.414
-0.045	-4.456
-0.045	-4.494
-0.046	-4.535
-0.046	-4.575
-0.047	-4.614
-0.047	-4.657
-0.047	-4.697
-0.048	-4.735
-0.048	-4.776
-0.049	-4.815
-0.049	-4.856
-0.049	-4.896
-0.050	-4.935
-0.050	-4.976
-0.050	-4.988
-0.050	-4.949
-0.050	-4.907
-0.049	-4.868
-0.049	-4.826
-0.048	-4.787
-0.048	-4.747
-0.048	-4.707
-0.047	-4.668
-0.047	-4.626
-0.046	-4.587
-0.046	-4.548
-0.046	-4.507
-0.045	-4.468
-0.045	-4.429
-0.044	-4.388
-0.044	-4.348
-0.043	-4.307
-0.043	-4.268
-0.043	-4.229
-0.042	-4.188
-0.042	-4.149
-0.042	-4.108
-0.041	-4.068
